  1.8691E-01,  1.5972E+00,  9.6758E+03,  9.6229E+03,  9.5702E+03,  9.5117E+03,  9.4535E+03,  9.4017E+03,  9.3502E+03,  9.2794E+03,  9.1144E+03,  8.9333E+03,  8.7558E+03,  8.3255E+03,  7.9163E+03,  7.4463E+03,  7.0043E+03,  6.4803E+03,  5.2830E+03,  4.2072E+03,  3.5395E+03,  2.9854E+03,  2.5902E+03,  2.2474E+03,  1.9392E+03,  1.6560E+03,  1.0276E+03,  4.7070E+02,  2.1560E+02,  4.7385E+01,  1.0415E+01
  1.7989E-01,  1.5271E+00,  1.2250E+04,  1.2221E+04,  1.2193E+04,  1.2145E+04,  1.2097E+04,  1.1837E+04,  1.1582E+04,  1.1526E+04,  1.1379E+04,  1.1156E+04,  1.0937E+04,  1.0466E+04,  1.0016E+04,  9.5598E+03,  9.1245E+03,  8.7806E+03,  7.6470E+03,  6.4834E+03,  5.5799E+03,  4.8496E+03,  4.3958E+03,  3.9845E+03,  3.5768E+03,  3.1369E+03,  2.0911E+03,  1.0867E+03,  5.6477E+02,  1.7264E+02,  5.2774E+01
  1.7318E-01,  1.4686E+00,  1.4941E+04,  1.4896E+04,  1.4851E+04,  1.4785E+04,  1.4720E+04,  1.4640E+04,  1.4560E+04,  1.4507E+04,  1.4324E+04,  1.4077E+04,  1.3834E+04,  1.3348E+04,  1.2879E+04,  1.2486E+04,  1.2105E+04,  1.1724E+04,  1.0600E+04,  9.1449E+03,  8.0891E+03,  7.0344E+03,  6.3552E+03,  5.7417E+03,  5.2057E+03,  4.6374E+03,  3.2430E+03,  1.8115E+03,  1.0119E+03,  3.6291E+02,  1.3015E+02
  1.6691E-01,  1.4201E+00,  1.8537E+04,  1.8453E+04,  1.8368E+04,  1.8292E+04,  1.8216E+04,  1.8126E+04,  1.8035E+04,  1.7956E+04,  1.7684E+04,  1.7531E+04,  1.7379E+04,  1.7016E+04,  1.6661E+04,  1.6163E+04,  1.5681E+04,  1.5249E+04,  1.3987E+04,  1.2333E+04,  1.1068E+04,  9.4857E+03,  8.4916E+03,  7.6017E+03,  6.8180E+03,  6.1002E+03,  4.3275E+03,  2.4925E+03,  1.4357E+03,  5.3671E+02,  2.0065E+02
  1.6119E-01,  1.3806E+00,  2.0707E+04,  2.0624E+04,  2.0541E+04,  2.0462E+04,  2.0382E+04,  2.0324E+04,  2.0265E+04,  2.0175E+04,  1.9903E+04,  1.9730E+04,  1.9558E+04,  1.9223E+04,  1.8894E+04,  1.8442E+04,  1.8000E+04,  1.7561E+04,  1.6102E+04,  1.4296E+04,  1.2885E+04,  1.0971E+04,  9.7187E+03,  8.6097E+03,  7.7223E+03,  6.9480E+03,  5.0254E+03,  2.9593E+03,  1.7427E+03,  6.6240E+02,  2.5178E+02
  1.5614E-01,  1.3491E+00,  2.3320E+04,  2.3198E+04,  2.3078E+04,  2.2982E+04,  2.2887E+04,  2.2761E+04,  2.2635E+04,  2.2540E+04,  2.2205E+04,  2.1949E+04,  2.1697E+04,  2.1212E+04,  2.0738E+04,  2.0222E+04,  1.9718E+04,  1.9025E+04,  1.7178E+04,  1.4919E+04,  1.3387E+04,  1.1439E+04,  1.0145E+04,  8.9969E+03,  8.1397E+03,  7.3739E+03,  5.4440E+03,  3.2679E+03,  1.9616E+03,  7.3970E+02,  2.7894E+02
  1.5187E-01,  1.3252E+00,  2.5425E+04,  2.5334E+04,  2.5244E+04,  2.5134E+04,  2.5024E+04,  2.4952E+04,  2.4880E+04,  2.4796E+04,  2.4532E+04,  2.4348E+04,  2.4165E+04,  2.3611E+04,  2.3069E+04,  2.2422E+04,  2.1794E+04,  2.1221E+04,  1.9399E+04,  1.6288E+04,  1.4500E+04,  1.2451E+04,  1.1173E+04,  1.0027E+04,  9.1078E+03,  8.2570E+03,  6.1340E+03,  3.7446E+03,  2.2860E+03,  8.8530E+02,  3.4285E+02
  1.4848E-01,  1.3081E+00,  2.8828E+04,  2.8750E+04,  2.8673E+04,  2.8556E+04,  2.8439E+04,  2.8369E+04,  2.8298E+04,  2.8201E+04,  2.7932E+04,  2.7681E+04,  2.7433E+04,  2.6739E+04,  2.6063E+04,  2.5318E+04,  2.4594E+04,  2.3934E+04,  2.1940E+04,  1.8012E+04,  1.6178E+04,  1.3766E+04,  1.2392E+04,  1.1156E+04,  1.0163E+04,  9.2092E+03,  6.8556E+03,  4.2298E+03,  2.6097E+03,  1.0366E+03,  4.1172E+02
  1.4604E-01,  1.2973E+00,  3.0506E+04,  3.0453E+04,  3.0400E+04,  3.0291E+04,  3.0181E+04,  3.0114E+04,  3.0048E+04,  2.9948E+04,  2.9699E+04,  2.9392E+04,  2.9089E+04,  2.8364E+04,  2.7656E+04,  2.6934E+04,  2.6231E+04,  2.5602E+04,  2.3674E+04,  1.9256E+04,  1.7358E+04,  1.4711E+04,  1.3274E+04,  1.1977E+04,  1.0936E+04,  9.9072E+03,  7.3872E+03,  4.5868E+03,  2.8480E+03,  1.1526E+03,  4.6646E+02
  1.4460E-01,  1.2927E+00,  3.0718E+04,  3.0679E+04,  3.0640E+04,  3.0541E+04,  3.0442E+04,  3.0376E+04,  3.0311E+04,  3.0213E+04,  2.9984E+04,  2.9642E+04,  2.9304E+04,  2.8578E+04,  2.7869E+04,  2.7168E+04,  2.6486E+04,  2.5850E+04,  2.3933E+04,  1.9414E+04,  1.7500E+04,  1.4852E+04,  1.3427E+04,  1.2138E+04,  1.1100E+04,  1.0059E+04,  7.5152E+03,  4.6794E+03,  2.9137E+03,  1.1918E+03,  4.8750E+02
  1.4420E-01,  1.2942E+00,  3.1698E+04,  3.1658E+04,  3.1618E+04,  3.1514E+04,  3.1411E+04,  3.1342E+04,  3.1274E+04,  3.1172E+04,  3.0933E+04,  3.0577E+04,  3.0226E+04,  2.9466E+04,  2.8725E+04,  2.7994E+04,  2.7281E+04,  2.6618E+04,  2.4620E+04,  1.9918E+04,  1.7933E+04,  1.5194E+04,  1.3725E+04,  1.2398E+04,  1.1331E+04,  1.0263E+04,  7.6562E+03,  4.7619E+03,  2.9617E+03,  1.2095E+03,  4.9396E+02
  1.4481E-01,  1.3018E+00,  3.2830E+04,  3.2773E+04,  3.2716E+04,  3.2597E+04,  3.2477E+04,  3.2402E+04,  3.2328E+04,  3.2218E+04,  3.1945E+04,  3.1600E+04,  3.1259E+04,  3.0450E+04,  2.9663E+04,  2.8858E+04,  2.8076E+04,  2.7362E+04,  2.5198E+04,  2.0368E+04,  1.8289E+04,  1.5453E+04,  1.3920E+04,  1.2540E+04,  1.1434E+04,  1.0346E+04,  7.6886E+03,  4.7593E+03,  2.9461E+03,  1.1888E+03,  4.7968E+02
  1.4641E-01,  1.3157E+00,  3.1464E+04,  3.1380E+04,  3.1296E+04,  3.1169E+04,  3.1044E+04,  3.0960E+04,  3.0876E+04,  3.0768E+04,  3.0471E+04,  3.0162E+04,  2.9855E+04,  2.9058E+04,  2.8282E+04,  2.7423E+04,  2.6590E+04,  2.5776E+04,  2.3404E+04,  1.9072E+04,  1.6995E+04,  1.4449E+04,  1.2985E+04,  1.1669E+04,  1.0613E+04,  9.6054E+03,  7.1235E+03,  4.3727E+03,  2.6841E+03,  1.0619E+03,  4.2012E+02
  1.4893E-01,  1.3356E+00,  2.8967E+04,  2.8850E+04,  2.8733E+04,  2.8601E+04,  2.8469E+04,  2.8393E+04,  2.8317E+04,  2.8220E+04,  2.7905E+04,  2.7717E+04,  2.7530E+04,  2.6839E+04,  2.6166E+04,  2.5388E+04,  2.4634E+04,  2.3876E+04,  2.1568E+04,  1.7904E+04,  1.5755E+04,  1.3506E+04,  1.2089E+04,  1.0821E+04,  9.8068E+03,  8.8743E+03,  6.5554E+03,  3.9733E+03,  2.4082E+03,  9.2888E+02,  3.5828E+02
  1.5230E-01,  1.3620E+00,  2.7658E+04,  2.7534E+04,  2.7410E+04,  2.7302E+04,  2.7195E+04,  2.7058E+04,  2.6923E+04,  2.6815E+04,  2.6449E+04,  2.6103E+04,  2.5762E+04,  2.5113E+04,  2.4480E+04,  2.3797E+04,  2.3133E+04,  2.2229E+04,  1.9859E+04,  1.7135E+04,  1.5114E+04,  1.2898E+04,  1.1420E+04,  1.0111E+04,  9.1221E+03,  8.2447E+03,  6.0423E+03,  3.5938E+03,  2.1375E+03,  8.0228E+02,  3.0112E+02
  1.5643E-01,  1.3957E+00,  2.5972E+04,  2.5902E+04,  2.5831E+04,  2.5742E+04,  2.5653E+04,  2.5621E+04,  2.5589E+04,  2.5477E+04,  2.5185E+04,  2.4906E+04,  2.4629E+04,  2.4059E+04,  2.3502E+04,  2.2893E+04,  2.2300E+04,  2.1642E+04,  1.9566E+04,  1.7277E+04,  1.5231E+04,  1.2876E+04,  1.1411E+04,  1.0114E+04,  9.0390E+03,  8.1097E+03,  5.8141E+03,  3.3895E+03,  1.9760E+03,  7.4809E+02,  2.8323E+02
  1.6122E-01,  1.4372E+00,  2.2794E+04,  2.2711E+04,  2.2629E+04,  2.2542E+04,  2.2455E+04,  2.2345E+04,  2.2236E+04,  2.2138E+04,  2.1812E+04,  2.1494E+04,  2.1180E+04,  2.0537E+04,  1.9913E+04,  1.9125E+04,  1.8369E+04,  1.7827E+04,  1.6181E+04,  1.3618E+04,  1.2093E+04,  1.0297E+04,  9.1862E+03,  8.1952E+03,  7.3680E+03,  6.5881E+03,  4.6683E+03,  2.6819E+03,  1.5408E+03,  5.6813E+02,  2.0949E+02
  1.6659E-01,  1.4874E+00,  1.9355E+04,  1.9299E+04,  1.9242E+04,  1.9160E+04,  1.9078E+04,  1.8958E+04,  1.8839E+04,  1.8781E+04,  1.8523E+04,  1.8185E+04,  1.7853E+04,  1.7153E+04,  1.6479E+04,  1.5729E+04,  1.5013E+04,  1.4348E+04,  1.2588E+04,  1.0566E+04,  9.1142E+03,  7.8261E+03,  7.0538E+03,  6.3578E+03,  5.7868E+03,  5.1551E+03,  3.5954E+03,  2.0086E+03,  1.1221E+03,  3.9445E+02,  1.3866E+02
  1.7244E-01,  1.5478E+00,  1.6639E+04,  1.6588E+04,  1.6538E+04,  1.6467E+04,  1.6396E+04,  1.6134E+04,  1.5876E+04,  1.5798E+04,  1.5571E+04,  1.5248E+04,  1.4932E+04,  1.4241E+04,  1.3581E+04,  1.2895E+04,  1.2243E+04,  1.1248E+04,  9.3315E+03,  7.4756E+03,  6.3216E+03,  5.2532E+03,  4.6594E+03,  4.1326E+03,  3.6680E+03,  3.1927E+03,  2.0843E+03,  1.0548E+03,  5.3382E+02,  1.5532E+02,  4.5191E+01
  1.7867E-01,  1.6187E+00,  1.4341E+04,  1.4273E+04,  1.4206E+04,  1.4128E+04,  1.4050E+04,  1.3954E+04,  1.3858E+04,  1.3786E+04,  1.3549E+04,  1.3129E+04,  1.2723E+04,  1.1982E+04,  1.1284E+04,  1.0372E+04,  9.5336E+03,  8.6330E+03,  6.6223E+03,  4.8537E+03,  3.9051E+03,  3.1510E+03,  2.7001E+03,  2.3137E+03,  2.0029E+03,  1.6963E+03,  1.0180E+03,  4.5440E+02,  2.0283E+02,  4.5238E+01,  1.0089E+01
  1.8520E-01,  1.7030E+00,  1.2955E+04,  1.2910E+04,  1.2864E+04,  1.2765E+04,  1.2667E+04,  1.2546E+04,  1.2426E+04,  1.2320E+04,  1.1999E+04,  1.1555E+04,  1.1128E+04,  1.0015E+04,  9.0130E+03,  7.9465E+03,  7.0062E+03,  6.1503E+03,  4.1555E+03,  2.6461E+03,  2.0007E+03,  1.4830E+03,  1.2549E+03,  1.0619E+03,  9.0252E+02,  7.4816E+02,  4.1473E+02,  1.5156E+02,  5.5386E+01,  1.1179E+01,  2.2563E+00
  1.9193E-01,  1.8028E+00,  1.0945E+04,  1.0898E+04,  1.0851E+04,  1.0745E+04,  1.0640E+04,  1.0531E+04,  1.0423E+04,  1.0325E+04,  1.0071E+04,  9.6101E+03,  9.1708E+03,  8.1219E+03,  7.1930E+03,  6.2136E+03,  5.3675E+03,  4.5703E+03,  2.8715E+03,  1.7163E+03,  1.2199E+03,  8.1740E+02,  6.2592E+02,  4.7929E+02,  3.6812E+02,  2.8218E+02,  1.3266E+02,  3.7090E+01,  1.0370E+01,  0.0000E+00,  0.0000E+00
  1.9878E-01,  1.9211E+00,  2.3075E+04,  2.2749E+04,  2.2429E+04,  2.1744E+04,  2.1080E+04,  2.0429E+04,  1.9797E+04,  1.9198E+04,  1.7742E+04,  1.5691E+04,  1.3876E+04,  1.0406E+04,  7.8037E+03,  5.8691E+03,  4.4142E+03,  3.5146E+03,  1.9965E+03,  1.0981E+03,  7.1794E+02,  3.9876E+02,  2.7335E+02,  1.8738E+02,  1.3723E+02,  1.0025E+02,  4.1191E+01,  1.1784E+01,  3.3710E+00,  0.0000E+00,  0.0000E+00
  2.0566E-01,  2.0617E+00,  5.2240E+04,  5.1039E+04,  4.9866E+04,  4.7651E+04,  4.5535E+04,  4.3518E+04,  4.1591E+04,  3.9825E+04,  3.4971E+04,  2.8249E+04,  2.2820E+04,  1.4907E+04,  9.7378E+03,  6.7753E+03,  4.7141E+03,  3.4826E+03,  1.5698E+03,  6.7712E+02,  3.7759E+02,  1.6341E+02,  1.0012E+02,  6.1339E+01,  4.1222E+01,  2.9691E+01,  1.1945E+01,  2.7848E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1248E-01,  2.2296E+00,  1.0258E+05,  9.3003E+04,  8.4319E+04,  7.3379E+04,  6.3859E+04,  5.7591E+04,  5.1939E+04,  4.7921E+04,  3.7906E+04,  2.6394E+04,  1.8378E+04,  1.0803E+04,  6.3499E+03,  4.2451E+03,  2.8379E+03,  2.0529E+03,  8.6242E+02,  3.0823E+02,  1.5044E+02,  5.3234E+01,  2.7370E+01,  1.4072E+01,  8.4847E+00,  5.5328E+00,  1.8264E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1916E-01,  2.4312E+00,  1.6969E+05,  1.5394E+05,  1.3965E+05,  1.1678E+05,  9.7660E+04,  8.3806E+04,  7.1917E+04,  6.2766E+04,  4.3116E+04,  2.5813E+04,  1.5454E+04,  7.3573E+03,  3.5026E+03,  2.1654E+03,  1.3387E+03,  9.4243E+02,  3.5004E+02,  1.1672E+02,  5.3054E+01,  1.7709E+01,  7.9074E+00,  3.5308E+00,  2.0613E+00,  1.2035E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2561E-01,  2.6750E+00,  3.2859E+05,  2.8603E+05,  2.4899E+05,  1.8959E+05,  1.4435E+05,  1.1553E+05,  9.2466E+04,  7.4718E+04,  4.1268E+04,  1.8930E+04,  8.6833E+03,  3.3652E+03,  1.3042E+03,  6.9874E+02,  3.7436E+02,  2.3930E+02,  8.0205E+01,  2.2221E+01,  7.9119E+00,  2.0042E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3175E-01,  2.9720E+00,  8.1691E+05,  6.4980E+05,  5.1688E+05,  3.3512E+05,  2.1728E+05,  1.4348E+05,  9.4754E+04,  6.7392E+04,  2.6553E+04,  8.8983E+03,  2.9820E+03,  8.7971E+02,  2.5952E+02,  1.1392E+02,  5.0008E+01,  2.8393E+01,  6.7174E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3751E-01,  3.3376E+00,  1.7767E+06,  1.1783E+06,  7.8144E+05,  3.8969E+05,  1.9433E+05,  1.1004E+05,  6.2315E+04,  3.9900E+04,  1.1306E+04,  2.8878E+03,  7.3759E+02,  1.5004E+02,  3.0521E+01,  1.1602E+01,  4.4102E+00,  1.6765E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4282E-01,  3.7922E+00,  1.1555E+06,  7.7799E+05,  5.2380E+05,  2.6086E+05,  1.2991E+05,  7.3299E+04,  4.1358E+04,  2.5197E+04,  6.4769E+03,  1.2170E+03,  2.2866E+02,  2.8436E+01,  3.5363E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4763E-01,  4.3623E+00,  5.1698E+05,  3.2157E+05,  2.0003E+05,  8.6680E+04,  3.7562E+04,  1.8353E+04,  8.9671E+03,  4.8314E+03,  8.2312E+02,  8.9635E+01,  9.7610E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5187E-01,  5.0878E+00,  4.8341E+05,  2.1337E+05,  9.4179E+04,  2.3530E+04,  5.8788E+03,  1.6893E+03,  4.8542E+02,  1.4197E+02,  4.6999E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5552E-01,  6.0227E+00,  6.9246E+04,  2.9229E+04,  1.2338E+04,  2.3509E+03,  4.4794E+02,  9.2826E+01,  1.9236E+01,  3.9862E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5853E-01,  7.2403E+00,  4.3822E+01,  2.1838E+01,  1.0883E+01,  4.0137E+00,  1.4803E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6091E-01,  8.8459E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6263E-01,  1.0974E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6372E-01,  1.3780E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6418E-01,  1.7378E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6406E-01,  2.1658E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6339E-01,  2.5957E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6220E-01,  2.8871E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6056E-01,  2.8984E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5851E-01,  2.6251E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5609E-01,  2.2050E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5337E-01,  1.7799E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5038E-01,  1.4189E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4715E-01,  1.1352E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4372E-01,  9.1859E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4011E-01,  7.5416E+00,  7.2441E+00,  4.2968E+00,  2.5486E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3633E-01,  6.2863E+00,  4.1489E+04,  1.6331E+04,  6.4278E+03,  1.1684E+03,  2.1237E+02,  4.0453E+01,  7.7057E+00,  1.4678E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
